MyCodes.mycode	Feld0
aaa	aaa
aab	aab
aae	aae
aak	aak
aar	aar
aat	aat
abe	abe
abk	abk
abm	abm
abq	abq
ace	ace
ach	ach
acv	acv
ada	ada
ade	ade
adj	adj
adt	adt
ady	ady
adz	adz
aer	aer
afh	afh
afr	afr
agx	agx
ain	ain
aiw	aiw
aka	aka
ake	ake
akk	akk
akl	akl
akz	akz
alc	alc
ale	ale
ali	ali
aln	aln
alq	alq
als	als
amh	amh
amk	amk
amn	amn
ams	ams
amt	amt
amu	amu
and	and
ang	ang
ant	ant
apc	apc
apj	apj
apk	apk
apl	apl
apm	apm
apw	apw
apy	apy
ara	ara
arc	arc
arg	arg
arn	arn
arp	arp
ars	ars
aru	aru
arw	arw
arz	arz
asm	asm
ast	ast
ava	ava
ave	ave
awa	awa
awk	awk
aym	aym
azb	azb
aze	aze
bak	bak
bal	bal
bam	bam
ban	ban
bar	bar
bas	bas
bdy	bdy
bej	bej
bel	bel
bem	bem
ben	ben
bew	bew
bho	bho
bhw	bhw
bik	bik
bin	bin
bis	bis
bjz	bjz
bns	bns
bod	bod
bos	bos
bot	bot
bpl	bpl
bra	bra
brc	brc
bre	bre
bug	bug
bul	bul
bxr	bxr
byn	byn
bzt	bzt
caa	caa
cat	cat
cdo	cdo
ceb	ceb
ces	ces
cha	cha
chc	chc
che	che
chk	chk
chm	chm
cho	cho
chr	chr
chu	chu
chv	chv
chy	chy
cic	cic
cjy	cjy
com	com
cop	cop
cor	cor
cos	cos
cpg	cpg
cpx	cpx
cre	cre
crh	crh
csb	csb
cuk	cuk
cym	cym
czh	czh
czo	czo
dan	dan
dar	dar
dav	dav
dbl	dbl
deu	deu
dif	dif
dim	dim
diu	diu
div	div
dlm	dlm
drl	drl
dsb	dsb
dsn	dsn
duj	duj
dum	dum
dzo	dzo
egy	egy
ell	ell
eng	eng
enm	enm
epo	epo
est	est
esu	esu
eus	eus
ewe	ewe
fan	fan
fao	fao
fas	fas
fij	fij
fil	fil
fin	fin
fon	fon
fra	fra
frm	frm
fro	fro
fry	fry
ful	ful
fur	fur
gaa	gaa
gan	gan
gay	gay
gil	gil
gla	gla
gle	gle
glg	glg
glv	glv
gmh	gmh
gml	gml
gmy	gmy
gnd	gnd
gni	gni
goh	goh
got	got
grc	grc
grn	grn
guj	guj
gut	gut
hak	hak
hat	hat
hau	hau
haw	haw
hbs	hbs
heb	heb
her	her
hif	hif
hin	hin
hit	hit
hmn	hmn
hmo	hmo
hrv	hrv
hsb	hsb
hsn	hsn
huh	huh
hun	hun
hwc	hwc
hye	hye
iba	iba
ibo	ibo
ido	ido
iii	iii
iku	iku
ile	ile
ilo	ilo
ina	ina
ind	ind
ipk	ipk
ish	ish
isl	isl
ita	ita
jam	jam
jao	jao
jav	jav
jbo	jbo
jiv	jiv
jpn	jpn
jpr	jpr
jrb	jrb
kab	kab
kac	kac
kal	kal
kam	kam
kan	kan
kas	kas
kat	kat
kau	kau
kaw	kaw
kaz	kaz
kbc	kbc
kbf	kbf
kda	kda
kdd	kdd
khm	khm
kik	kik
kin	kin
kir	kir
kjr	kjr
kky	kky
kld	kld
kln	kln
knw	knw
kok	kok
kom	kom
kon	kon
kor	kor
kpg	kpg
krl	krl
ksh	ksh
ksi	ksi
ktn	ktn
kua	kua
kud	kud
kur	kur
kyi	kyi
kzg	kzg
lad	lad
lah	lah
lam	lam
lao	lao
lat	lat
lav	lav
lbe	lbe
lez	lez
lim	lim
lin	lin
lit	lit
liv	liv
lkt	lkt
lld	lld
lng	lng
ltz	ltz
lua	lua
lub	lub
lug	lug
luo	luo
luy	luy
lvk	lvk
mah	mah
mal	mal
man	man
mar	mar
mas	mas
mdf	mdf
men	men
mga	mga
mgh	mgh
miq	miq
mkd	mkd
mlg	mlg
mlt	mlt
mmp	mmp
mnc	mnc
mnk	mnk
mnp	mnp
mns	mns
mod	mod
mon	mon
mop	mop
mos	mos
mps	mps
mri	mri
mrv	mrv
msa	msa
mul	mul
mus	mus
mwp	mwp
mya	mya
myv	myv
nan	nan
nap	nap
nau	nau
nav	nav
nbl	nbl
nci	nci
nde	nde
ndo	ndo
nds	nds
nep	nep
nhx	nhx
niu	niu
nld	nld
nmn	nmn
nno	nno
nob	nob
non	non
nor	nor
nov	nov
nrm	nrm
ntj	ntj
nya	nya
nys	nys
oci	oci
ofs	ofs
oji	oji
okm	okm
ood	ood
ori	ori
orm	orm
osp	osp
oss	oss
osx	osx
ota	ota
pam	pam
pan	pan
pap	pap
pau	pau
peo	peo
phn	phn
pit	pit
pjt	pjt
pli	pli
pms	pms
pmt	pmt
pnt	pnt
pnw	pnw
pol	pol
por	por
prg	prg
pro	pro
pus	pus
que	que
rap	rap
rar	rar
rge	rge
rhg	rhg
rmi	rmi
roh	roh
rom	rom
ron	ron
roo	roo
rop	rop
rtm	rtm
run	run
ruo	ruo
rup	rup
ruq	ruq
rus	rus
rut	rut
sag	sag
sah	sah
san	san
sbf	sbf
scn	scn
sco	sco
sei	sei
sga	sga
shi	shi
sid	sid
sin	sin
sjd	sjd
slk	slk
slv	slv
sma	sma
sme	sme
smj	smj
smo	smo
sms	sms
sna	sna
snd	snd
som	som
sot	sot
spa	spa
sqi	sqi
srd	srd
srn	srn
srp	srp
ssw	ssw
sth	sth
str	str
sun	sun
sux	sux
swa	swa
swe	swe
syr	syr
tah	tah
tam	tam
tat	tat
tcs	tcs
tel	tel
tet	tet
tgk	tgk
tgl	tgl
tha	tha
tig	tig
tir	tir
tiv	tiv
tiw	tiw
tkl	tkl
tlh	tlh
ton	ton
tpi	tpi
tpn	tpn
tru	tru
tsd	tsd
tsn	tsn
tso	tso
tuk	tuk
tur	tur
tvl	tvl
twi	twi
txb	txb
tyv	tyv
udm	udm
uga	uga
uig	uig
ukr	ukr
ulk	ulk
uln	uln
umb	umb
urd	urd
uzb	uzb
vai	vai
vec	vec
ven	ven
vep	vep
vie	vie
vin	vin
vma	vma
vmb	vmb
vmk	vmk
vmw	vmw
vol	vol
vor	vor
vot	vot
wal	wal
wam	wam
waq	waq
war	war
was	was
wbp	wbp
wbw	wbw
wim	wim
wiv	wiv
wln	wln
wmt	wmt
wol	wol
wrh	wrh
wuu	wuu
wyb	wyb
xal	xal
xav	xav
xdc	xdc
xho	xho
xno	xno
xta	xta
xto	xto
xvn	xvn
yao	yao
yap	yap
yej	yej
yid	yid
yii	yii
yij	yij
ymm	ymm
yor	yor
yua	yua
yue	yue
zai	zai
zam	zam
zav	zav
zaz	zaz
zen	zen
zha	zha
zho	zho
zku	zku
zmk	zmk
zmx	zmx
zpc	zpc
zpp	zpp
zpq	zpq
zrp	zrp
ztu	ztu
ztx	ztx
zul	zul
zun	zun
ath	ath
bad	bad
ber	ber
bih	bih
bnt	bnt
mno	mno
myn	myn
nah	nah
sio	sio
smi	smi
Xeur	Xeur
Xart-rom	Xart-rom
Xart-tok	Xart-tok
ast-leo	ast-leo
bat-smg	bat-smg
Xbns	Xbns
chs	chs
Xdog	Xdog
ell-gri	ell-gri
eml	eml
fra-jer	fra-jer
Xglo	Xglo
kjl-zkm	kjl-zkm
Xmul	Xmul
nap-cal	nap-cal
oci-prv	oci-prv
por-br	por-br
sic	sic
Xsimple	Xsimple
str-saa	str-saa
twf-tao	twf-tao
yue-can	yue-can
