"abbreviation of";"abbreviation of"
"ablative of";"ablative of"
"ablative plural of";"ablative plural of"
"accusative dual of";"accusative dual of"
"accusative plural of";"accusative plural of"
"accusative singular of";"accusative singular of"
"acronym of";"acronym of"
"agent noun of";"agent noun of"
"alternative capitalization of";"alternative capitalization of"
"alternative form of";"alternative form of"
"alternative name of";"alternative name of"
"alternative spelling of";"alternative spelling of"
"apocopic form of";"apocopic form of"
"archaic form of";"archaic form of"
"archaic past of";"archaic past of"
"archaic spelling of";"archaic spelling of"
"augmentative of";"augmentative of"
"causative of";"causative of"
"combining form of";"combining form of"
"comparative of";"comparative of"
"contraction of";"contraction of"
"dated form of";"dated form of"
"dative plural of";"dative plural of"
"defective spelling of";"defective spelling of"
"definite of";"definite of"
"diminutive of";"diminutive of"
"dual of";"dual of"
"eclipsis of";"eclipsis of"
"elative of";"elative of"
"euphemistic form of";"euphemistic form of"
"euphemistic spelling of";"euphemistic spelling of"
"excessive spelling of";"excessive spelling of"
"eye dialect of";"eye dialect of"
"feminine of";"feminine of"
"feminine past participle of";"feminine past participle of"
"feminine plural of";"feminine plural of"
"feminine plural past participle of";"feminine plural past participle of"
"first person singular present tense and imperative of";"first person singular present tense and imperative of"
"form of";"form of"
"frequentative of";"frequentative of"
"future tense of";"future tense of"
"genitive dual of";"genitive dual of"
"genitive plural of";"genitive plural of"
"gerund of";"gerund of"
"infinitive of";"infinitive of"
"inflected form of";"inflected form of"
"conjugation of";"conjugation of"
"inflection of";"inflection of"
"informal form of";"informal form of"
"informal spelling of";"informal spelling of"
"initialism of";"initialism of"
"instrumental dual of";"instrumental dual of"
"instrumental of";"instrumental of"
"instrumental plural of";"instrumental plural of"
"irregular plural of";"irregular plural of"
"irregular simple past of";"irregular simple past of"
"lenition of";"lenition of"
"locative dual of";"locative dual of"
"locative of";"locative of"
"locative plural of";"locative plural of"
"masculine plural of";"masculine plural of"
"medieval spelling of";"medieval spelling of"
"misconstruction of";"misconstruction of"
"misspelling of";"misspelling of"
"mutation of";"mutation of"
"negative of";"negative of"
"neuter of";"neuter of"
"new en adj attr bot";"new en adj attr bot"
"nominative dual of";"nominative dual of"
"nominative of";"nominative of"
"nominative plural of";"nominative plural of"
"nonstandard spelling of";"nonstandard spelling of"
"obsolete form of";"obsolete form of"
"obsolete spelling of";"obsolete spelling of"
"official form of";"official form of"
"participle of";"participle of"
"passive form of";"passive form of"
"past of";"past of"
"past participle of";"past participle of"
"past tense form of";"past tense form of"
"past tense of";"past tense of"
"plural definite of";"plural definite of"
"plural gerund of";"plural gerund of"
"plural indefinite of";"plural indefinite of"
"plural of";"plural of"
"plural past participle of";"plural past participle of"
"present participle of";"present participle of"
"rare spelling of";"rare spelling of"
"reflexive of";"reflexive of"
"romanization of";"romanization of"
"short for";"short for"
"simple past of";"simple past of"
"singular definite of";"singular definite of"
"spelling of";"spelling of"
"superlative of";"superlative of"
"supine of";"supine of"
"traditional orthography spelling of";"traditional orthography spelling of"
"verbal noun of";"verbal noun of"
"vocative dual of";"vocative dual of"
"vocative of";"vocative of"
"vocative plural of";"vocative plural of"
"vocative singular of";"vocative singular of"
