LabelType	LabelGroup	LabelSubgroup	LabelText
dom	dom:misc:agra	agra	animal_husbandry
dom	dom:misc:agra	agra	Holzverarbeitung
dom	dom:misc:agra	agra	whaling
dom	dom:misc:agra	agra	Tierzucht
dom	dom:misc:agra	agra	horticulture
dom	dom:misc:agra	agra	in Bezug auf Nutztiere
dom	dom:misc:agra	agra	agriculture
dom	dom:misc:agra	agra	im Forstwesen
dom	dom:misc:agra	agra	Weinbau
dom	dom:misc:agra	agra	Milchwirtschaft
dom	dom:misc:agra	agra	Winzerei
dom	dom:misc:agra	agra	Obstbau
dom	dom:misc:agra	agra	horse breeding
dom	dom:misc:agra	agra	forestry
dom	dom:misc:agra	agra	Holz
dom	dom:misc:agra	agra	beekeeping
dom	dom:misc:agra	agra	landschaftlich
dom	dom:misc:agra	agra	Landwirtschaft
dom	dom:misc:agra	agra	animal husbandry
dom	dom:misc:agra	agra	сельск.
dom	dom:misc:agra	agra	Forstwirtschaft
dom	dom:misc:agra	agra	лес.
dom	dom:misc:agra	agra	Pomologie
dom	dom:misc:agra	agra	agriculture
dom	dom:misc:agra	agra	Imkerei
dom	dom:misc:agra	agra	Wein
dom	dom:misc:agra	agra	speziell Weinbau
dom	dom:misc:agra	agra	Tierhaltung
dom	dom:hum:archae	archae	paleontology
dom	dom:hum:archae	archae	archaeology
dom	dom:hum:archae	archae	Paläontologie
dom	dom:hum:archae	archae	Paläobiologie
dom	dom:hum:archae	archae	археол.
dom	dom:hum:archae	archae	archaeology
dom	dom:hum:archae	archae	paleontology
dom	dom:hum:archae	archae	paleonotology
dom	dom:hum:archae	archae	archeology
dom	dom:hum:archae	archae	Archäologie
dom	dom:hum:archae	archae	палеонт.
dom	dom:hum:archae	archae	palynology
dom	dom:hum:archi	archi	Architektur
dom	dom:hum:archi	archi	Construction
dom	dom:hum:archi	archi	buildings
dom	dom:hum:archi	archi	building_industry
dom	dom:hum:archi	archi	in der Baukunst
dom	dom:hum:archi	archi	architecture
dom	dom:hum:archi	archi	of a building
dom	dom:hum:archi	archi	antike Architektur
dom	dom:hum:archi	archi	Gebäude
dom	dom:hum:archi	archi	Antike Architektur
dom	dom:hum:archi	archi	Bau
dom	dom:hum:archi	archi	roofing
dom	dom:hum:archi	archi	masonry
dom	dom:hum:archi	archi	town_planning
dom	dom:hum:archi	archi	construction
dom	dom:hum:archi	archi	mittelalterliche Architektur
dom	dom:hum:archi	archi	архит.
dom	dom:hum:archi	archi	Kirchenarchitektur
dom	dom:hum:archi	archi	строит.
dom	dom:hum:archi	archi	gardening
dom	dom:hum:archi	archi	Architektur historisch
dom	dom:hum:archi	archi	Städtebau
dom	dom:hum:archi	archi	Erdbau
dom	dom:hum:archi	archi	architecture
dom	dom:hum:archi	archi	Bauwesen
dom	dom:hum:archi	archi	Fachwerkbau
dom	dom:hum:archi	archi	Gartenbau
dom	dom:hum:archi	archi	Gebäuden
dom	dom:hum:art	art	art
dom	dom:hum:art	art	theatre
dom	dom:hum:art	art	Kinematografie
dom	dom:hum:art	art	Kino
dom	dom:hum:art	art	performing arts
dom	dom:hum:art	art	darstellende Kunst
dom	dom:hum:art	art	of a film
dom	dom:hum:art	art	drawing
dom	dom:hum:art	art	sculpture
dom	dom:hum:art	art	dance
dom	dom:hum:art	art	plastic_arts
dom	dom:hum:art	art	photography
dom	dom:hum:art	art	graphic_arts
dom	dom:hum:art	art	painting
dom	dom:hum:art	art	arts
dom	dom:hum:art	art	entertainment
dom	dom:hum:art	art	drama
dom	dom:hum:art	art	sculpture
dom	dom:hum:art	art	кинол.
dom	dom:hum:art	art	Theater
dom	dom:hum:art	art	цирк.
dom	dom:hum:art	art	cinematography
dom	dom:hum:art	art	theater
dom	dom:hum:art	art	Theater
dom	dom:hum:art	art	bildende Kunst
dom	dom:hum:art	art	Malerei
dom	dom:hum:art	art	кино
dom	dom:hum:art	art	Grafik
dom	dom:hum:art	art	theatre
dom	dom:hum:art	art	dance
dom	dom:hum:art	art	фотогр.
dom	dom:hum:art	art	Bildende Kunst
dom	dom:hum:art	art	theater
dom	dom:hum:art	art	film
dom	dom:hum:art	art	Kunst
dom	dom:hum:art	art	Kunstwissenschaft
dom	dom:hum:art	art	Kunstgeschichte
dom	dom:hum:art	art	театр.
dom	dom:hum:art	art	Fotografie
dom	dom:hum:art	art	animation
dom	dom:hum:art	art	cinema
dom	dom:hum:art	art	painting
dom	dom:hum:art	art	film
dom	dom:hum:art	art	ballet
dom	dom:hum:art	art	acting
dom	dom:hum:art	art	хореогр.
dom	dom:hum:art	art	art
dom	dom:hum:art	art	живоп.
dom	dom:hum:art	art	photography
dom	dom:hum:art	art	cinema
dom	dom:hum:art	art	Belletristik und Film
dom	dom:hum:art	art	Schauspielerei
dom	dom:hum:art	art	visual art
dom	dom:hum:art	art	sound engineering
dom	dom:hum:art	art	Fototechnik
dom	dom:hum:art	art	Film
dom	dom:hum:art	art	Bildhauerei
dom	dom:hum:art	art	Gesang
dom	dom:hum:art	art	Film
dom	dom:hum:art	art	digitale Fotografie
dom	dom:hum:art	art	Filmtechnik
dom	dom:hum:art	art	Zeichnen
dom	dom:hum:art	art	in der Kunst
dom	dom:hum:art	art	graphic design
dom	dom:hum:art	art	Ballett
dom	dom:hum:art	art	antiquities
dom	dom:hum:art	art	Tanz
dom	dom:hum:art	art	comedy
dom	dom:nat:bio	bio	of a bacterium
dom	dom:nat:bio	bio	Cytologie
dom	dom:nat:bio	bio	herpetology
dom	dom:nat:bio	bio	микробиол.
dom	dom:nat:bio	bio	Mikrobiologie
dom	dom:nat:bio	bio	microscopy
dom	dom:nat:bio	bio	of bacteria
dom	dom:nat:bio	bio	Entwicklungsbiologie
dom	dom:nat:bio	bio	marine biology
dom	dom:nat:bio	bio	steroid
dom	dom:nat:bio	bio	cellular automata
dom	dom:nat:bio	bio	von einem Körperteil
dom	dom:nat:bio	bio	microbiology
dom	dom:nat:bio	bio	steroid hormone
dom	dom:nat:bio	bio	molecular biology
dom	dom:nat:bio	bio	planktology
dom	dom:nat:bio	bio	environment
dom	dom:nat:bio	bio	von Zellen und Gewebe
dom	dom:nat:bio	bio	of a chromosome
dom	dom:nat:bio	bio	Genetik
dom	dom:nat:bio	bio	Verhaltensbiologie
dom	dom:nat:bio	bio	coenzyme
dom	dom:nat:bio	bio	Zellbiologie
dom	dom:nat:bio	bio	генет.
dom	dom:nat:bio	bio	speziell Entwicklungsbiologie
dom	dom:nat:bio	bio	Genetik / Wissenschaftsgeschichte
dom	dom:nat:bio	bio	biologische Systematik
dom	dom:nat:bio	bio	Biologie
dom	dom:nat:bio	bio	Erbmerkmal bei diploiden Lebewesen
dom	dom:nat:bio	bio	Evolutionsbiologie
dom	dom:nat:bio	bio	Biologische Systematik
dom	dom:nat:bio	bio	von Lebewesen allgemein
dom	dom:nat:bio	bio	embryology
dom	dom:nat:bio	bio	Bakteriologie
dom	dom:nat:bio	bio	Molekularbiologie
dom	dom:nat:bio	bio	coral science
dom	dom:nat:bio	bio	bacteriology
dom	dom:nat:bio	bio	Ökologie
dom	dom:nat:bio	bio	biotechnology
